model,stage,metric,value
Hierarchical CNN,Stage 1,accuracy,0.795171
Hierarchical CNN,Stage 1,balanced_accuracy,0.816769
Hierarchical CNN,Stage 1,mcc,0.564032
Hierarchical CNN,Stage 1,cohen_kappa,0.537269
Hierarchical CNN,Stage 1,prec_macro,0.751076
Hierarchical CNN,Stage 1,rec_macro,0.816769
Hierarchical CNN,Stage 1,f1_macro,0.763791
Hierarchical CNN,Stage 1,prec_weighted,0.846890
Hierarchical CNN,Stage 1,rec_weighted,0.795171
Hierarchical CNN,Stage 1,f1_weighted,0.806771
Hierarchical CNN,Stage 1,roc_auc,0.903253
Hierarchical CNN,Stage 1,pr_auc,0.868611
KNN Baseline,Stage 1,accuracy,0.749611
KNN Baseline,Stage 1,balanced_accuracy,0.500000
KNN Baseline,Stage 1,mcc,0.000000
KNN Baseline,Stage 1,cohen_kappa,0.000000
KNN Baseline,Stage 1,prec_macro,0.374805
KNN Baseline,Stage 1,rec_macro,0.500000
KNN Baseline,Stage 1,f1_macro,0.428444
KNN Baseline,Stage 1,prec_weighted,0.561916
KNN Baseline,Stage 1,rec_weighted,0.749611
KNN Baseline,Stage 1,f1_weighted,0.642333
KNN Baseline,Stage 1,roc_auc,0.500000
KNN Baseline,Stage 1,pr_auc,0.500000
Hierarchical CNN,Stage 2,accuracy,0.669782
Hierarchical CNN,Stage 2,balanced_accuracy,0.621055
Hierarchical CNN,Stage 2,mcc,0.570496
Hierarchical CNN,Stage 2,cohen_kappa,0.563287
Hierarchical CNN,Stage 2,prec_macro,0.588190
Hierarchical CNN,Stage 2,rec_macro,0.621055
Hierarchical CNN,Stage 2,f1_macro,0.588218
Hierarchical CNN,Stage 2,prec_weighted,0.712244
Hierarchical CNN,Stage 2,rec_weighted,0.669782
Hierarchical CNN,Stage 2,f1_weighted,0.677446
Hierarchical CNN,Stage 2,roc_auc,0.834383
Hierarchical CNN,Stage 2,pr_auc,0.606526
KNN Baseline,Stage 2,accuracy,0.441978
KNN Baseline,Stage 2,balanced_accuracy,0.166667
KNN Baseline,Stage 2,mcc,0.000000
KNN Baseline,Stage 2,cohen_kappa,0.000000
KNN Baseline,Stage 2,prec_macro,0.073663
KNN Baseline,Stage 2,rec_macro,0.166667
KNN Baseline,Stage 2,f1_macro,0.102169
KNN Baseline,Stage 2,prec_weighted,0.195345
KNN Baseline,Stage 2,rec_weighted,0.441978
KNN Baseline,Stage 2,f1_weighted,0.270940
KNN Baseline,Stage 2,roc_auc,0.500000
KNN Baseline,Stage 2,pr_auc,0.166667
Hierarchical CNN,Stage 3,accuracy,0.633956
Hierarchical CNN,Stage 3,balanced_accuracy,0.593726
Hierarchical CNN,Stage 3,mcc,0.553570
Hierarchical CNN,Stage 3,cohen_kappa,0.546612
Hierarchical CNN,Stage 3,prec_macro,0.549204
Hierarchical CNN,Stage 3,rec_macro,0.593726
Hierarchical CNN,Stage 3,f1_macro,0.555139
Hierarchical CNN,Stage 3,prec_weighted,0.694531
Hierarchical CNN,Stage 3,rec_weighted,0.633956
Hierarchical CNN,Stage 3,f1_weighted,0.648870
Hierarchical CNN,Stage 3,roc_auc,0.825142
Hierarchical CNN,Stage 3,pr_auc,0.532018
KNN Baseline,Stage 3,accuracy,0.030374
KNN Baseline,Stage 3,balanced_accuracy,0.125000
KNN Baseline,Stage 3,mcc,0.000000
KNN Baseline,Stage 3,cohen_kappa,0.000000
KNN Baseline,Stage 3,prec_macro,0.003797
KNN Baseline,Stage 3,rec_macro,0.125000
KNN Baseline,Stage 3,f1_macro,0.007370
KNN Baseline,Stage 3,prec_weighted,0.000923
KNN Baseline,Stage 3,rec_weighted,0.030374
KNN Baseline,Stage 3,f1_weighted,0.001791
KNN Baseline,Stage 3,roc_auc,0.500000
KNN Baseline,Stage 3,pr_auc,0.125000
