flag_type,file_path,split,fine_class,source_tag,true_label,predicted_label,confidence
model_flagged,data/final/train\paper\gc12_paper_3f2a01.jpg,train,paper,gc12_,biodegradable,non_biodegradable,0.960095
model_flagged,data/final/train\paper\gc12_paper_56fc6e.jpg,train,paper,gc12_,biodegradable,non_biodegradable,0.951744
model_flagged,data/final/train\paper\gcv2_paper_d6bc2c.jpg,train,paper,gcv2_,biodegradable,non_biodegradable,0.949666
model_flagged,data/final/train\paper\gcv2_paper_7ebdc2.jpg,train,paper,gcv2_,biodegradable,non_biodegradable,0.949461
model_flagged,data/final/train\cardboard\gcv2_cardboard_7322ec.jpg,train,cardboard,gcv2_,biodegradable,non_biodegradable,0.948520
model_flagged,data/final/train\paper\gc12_paper_5cd206.jpg,train,paper,gc12_,biodegradable,non_biodegradable,0.944375
model_flagged,data/final/val\paper\gc12_paper_7f26bf.jpg,val,paper,gc12_,biodegradable,non_biodegradable,0.937967
model_flagged,data/final/train\paper\gc12_paper_697cb6.jpg,train,paper,gc12_,biodegradable,non_biodegradable,0.937684
model_flagged,data/final/train\paper\gc12_paper_9e14b7.jpg,train,paper,gc12_,biodegradable,non_biodegradable,0.937467
model_flagged,data/final/train\paper\taco_Paper_bag_11460b.jpg,train,paper,taco_,biodegradable,non_biodegradable,0.936984
model_flagged,data/final/val\paper\gc12_paper_dafe7e.jpg,val,paper,gc12_,biodegradable,non_biodegradable,0.926822
model_flagged,data/final/test\paper\gc12_paper_a01cdc.jpg,test,paper,gc12_,biodegradable,non_biodegradable,0.926704
model_flagged,data/final/train\paper\gcv2_paper_c964a4.jpg,train,paper,gcv2_,biodegradable,non_biodegradable,0.924649
model_flagged,data/final/train\paper\taco_Paper_bag_3d578a.jpg,train,paper,taco_,biodegradable,non_biodegradable,0.919121
model_flagged,data/final/train\paper\gc12_paper_e66d1d.jpg,train,paper,gc12_,biodegradable,non_biodegradable,0.915722
model_flagged,data/final/train\paper\gc12_paper_ede5c8.jpg,train,paper,gc12_,biodegradable,non_biodegradable,0.913348
model_flagged,data/final/test\paper\gcv2_paper_3eab2b.jpg,test,paper,gcv2_,biodegradable,non_biodegradable,0.911154
model_flagged,data/final/val\paper\gc12_paper_5ccce7.jpg,val,paper,gc12_,biodegradable,non_biodegradable,0.905506
model_flagged,data/final/val\paper\gc12_paper_14ee5b.jpg,val,paper,gc12_,biodegradable,non_biodegradable,0.904188
model_flagged,data/final/train\cardboard\extra_01079.jpg,train,cardboard,unknown,biodegradable,non_biodegradable,0.903541
model_flagged,data/final/train\paper\gc12_paper_d06c78.jpg,train,paper,gc12_,biodegradable,non_biodegradable,0.903325
model_flagged,data/final/test\paper\gcv2_paper_c59fc0.jpg,test,paper,gcv2_,biodegradable,non_biodegradable,0.903111
model_flagged,data/final/train\paper\gcv2_paper_b6d209.jpg,train,paper,gcv2_,biodegradable,non_biodegradable,0.902981
model_flagged,data/final/test\cardboard\gcv2_cardboard_5eca2d.jpg,test,cardboard,gcv2_,biodegradable,non_biodegradable,0.901165
model_flagged,data/final/train\paper\gc12_paper_335aba.jpg,train,paper,gc12_,biodegradable,non_biodegradable,0.894725
model_flagged,data/final/train\paper\gcv2_paper_c2f25d.jpg,train,paper,gcv2_,biodegradable,non_biodegradable,0.891688
model_flagged,data/final/train\paper\gcv2_paper_8122f5.jpg,train,paper,gcv2_,biodegradable,non_biodegradable,0.890718
model_flagged,data/final/test\paper\gc12_paper_6a6060.jpg,test,paper,gc12_,biodegradable,non_biodegradable,0.890065
