file_path,true_label,predicted_label,confidence
data/final/test\organic\gc12_biological_3ba68b.jpg,biodegradable,non_biodegradable,0.985437
data/final/test\plastic\gcv2_plastic_0e9383.jpg,non_biodegradable,biodegradable,0.980728
data/final/test\organic\gcv2_biological_6ebe6b.jpg,biodegradable,non_biodegradable,0.979768
data/final/test\metal\gc12_metal_6b4503.jpg,non_biodegradable,biodegradable,0.972293
data/final/test\metal\taco_Scrap_metal_a5425d.jpg,non_biodegradable,biodegradable,0.971731
data/final/test\paper\gcv2_paper_70ecef.jpg,biodegradable,non_biodegradable,0.970480
data/final/test\metal\gcv2_metal_168b58.jpg,non_biodegradable,biodegradable,0.963945
data/final/test\paper\gc12_paper_c01f3b.jpg,biodegradable,non_biodegradable,0.962293
data/final/test\plastic\taco_Other_plastic_90a3b5.jpg,non_biodegradable,biodegradable,0.958686
data/final/test\cardboard\gcv2_cardboard_bd3429.jpg,biodegradable,non_biodegradable,0.957177
data/final/test\paper\gc12_paper_8c83f7.jpg,biodegradable,non_biodegradable,0.953594
data/final/test\plastic\gc12_plastic_003b50.jpg,non_biodegradable,biodegradable,0.953188
data/final/test\textile\gc12_shoes_ee04e0.jpg,non_biodegradable,biodegradable,0.951426
data/final/test\glass\gcv2_glass_17ef53.jpg,non_biodegradable,biodegradable,0.950649
data/final/test\textile\gc12_clothes_e4a062.jpg,non_biodegradable,biodegradable,0.950269
data/final/test\glass\gc12_brown-glass_a0ab72.jpg,non_biodegradable,biodegradable,0.944342
data/final/test\glass\gc12_brown-glass_468763.jpg,non_biodegradable,biodegradable,0.942884
data/final/test\glass\gc12_brown-glass_a68571.jpg,non_biodegradable,biodegradable,0.942645
data/final/test\textile\gc12_shoes_1f3804.jpg,non_biodegradable,biodegradable,0.941149
data/final/test\glass\gc12_green-glass_aa1afd.jpg,non_biodegradable,biodegradable,0.939379
data/final/test\plastic\taco_Other_plastic_95ab1b.jpg,non_biodegradable,biodegradable,0.935781
data/final/test\paper\taco_Paper_bag_4acb79.jpg,biodegradable,non_biodegradable,0.935722
data/final/test\textile\gc12_shoes_2c0716.jpg,non_biodegradable,biodegradable,0.933600
data/final/test\plastic\taco_Other_plastic_2b44b3.jpg,non_biodegradable,biodegradable,0.931855
data/final/test\plastic\taco_Other_plastic_c14233.jpg,non_biodegradable,biodegradable,0.930897
data/final/test\glass\gc12_brown-glass_57524a.jpg,non_biodegradable,biodegradable,0.930002
data/final/test\glass\gcv2_glass_068f32.jpg,non_biodegradable,biodegradable,0.929789
data/final/test\textile\gc12_shoes_72e4ff.jpg,non_biodegradable,biodegradable,0.928567
data/final/test\textile\gc12_clothes_1bd82c.jpg,non_biodegradable,biodegradable,0.924865
data/final/test\glass\gc12_brown-glass_087768.jpg,non_biodegradable,biodegradable,0.924106
data/final/test\cardboard\gcv2_cardboard_dcce56.jpg,biodegradable,non_biodegradable,0.920945
data/final/test\plastic\gcv2_plastic_266fca.jpg,non_biodegradable,biodegradable,0.919285
data/final/test\paper\gc12_paper_ca0738.jpg,biodegradable,non_biodegradable,0.918038
data/final/test\textile\gc12_clothes_63545d.jpg,non_biodegradable,biodegradable,0.914535
data/final/test\organic\gc12_biological_30641b.jpg,biodegradable,non_biodegradable,0.913621
data/final/test\glass\gc12_brown-glass_51a205.jpg,non_biodegradable,biodegradable,0.910396
data/final/test\metal\gcv2_metal_bbcb97.jpg,non_biodegradable,biodegradable,0.908544
data/final/test\plastic\taco_Other_plastic_d5826f.jpg,non_biodegradable,biodegradable,0.906456
data/final/test\plastic\gcv2_plastic_c10efd.jpg,non_biodegradable,biodegradable,0.903870
data/final/test\metal\gc12_metal_57d2ff.jpg,non_biodegradable,biodegradable,0.901253
data/final/test\metal\gc12_metal_b9f31e.jpg,non_biodegradable,biodegradable,0.900640
data/final/test\glass\taco_Broken_glass_dba8e8.jpg,non_biodegradable,biodegradable,0.898756
data/final/test\glass\gc12_brown-glass_79dcca.jpg,non_biodegradable,biodegradable,0.898486
data/final/test\metal\taco_Scrap_metal_04c67c.jpg,non_biodegradable,biodegradable,0.893654
data/final/test\glass\gc12_green-glass_25ef83.jpg,non_biodegradable,biodegradable,0.893294
data/final/test\textile\gc12_shoes_3a62e5.jpg,non_biodegradable,biodegradable,0.892454
data/final/test\plastic\gc12_plastic_496e2a.jpg,non_biodegradable,biodegradable,0.891894
data/final/test\plastic\taco_Styrofoam_piece_e0247d.jpg,non_biodegradable,biodegradable,0.891762
data/final/test\glass\gc12_white-glass_d2dd09.jpg,non_biodegradable,biodegradable,0.891732
data/final/test\battery\gcv2_battery_bc3d9d.jpg,non_biodegradable,biodegradable,0.886303
