file_path,true_label,predicted_label,confidence,source_tag
data/final/test\paper\gc12_paper_a01cdc.jpg,biodegradable,non_biodegradable,0.926706,gc12_
data/final/test\paper\gcv2_paper_3eab2b.jpg,biodegradable,non_biodegradable,0.911120,gcv2_
data/final/test\paper\gcv2_paper_c59fc0.jpg,biodegradable,non_biodegradable,0.903082,gcv2_
data/final/test\cardboard\gcv2_cardboard_5eca2d.jpg,biodegradable,non_biodegradable,0.901161,gcv2_
data/final/test\paper\gc12_paper_6a6060.jpg,biodegradable,non_biodegradable,0.890074,gc12_
data/final/test\paper\gcv2_paper_0947cc.jpg,biodegradable,non_biodegradable,0.856410,gcv2_
data/final/test\paper\taco_Paper_bag_0c05a0.jpg,biodegradable,non_biodegradable,0.846604,taco_
data/final/test\paper\gcv2_paper_5c5de2.jpg,biodegradable,non_biodegradable,0.841345,gcv2_
data/final/test\paper\taco_Paper_bag_db87e6.jpg,biodegradable,non_biodegradable,0.840792,taco_
data/final/test\cardboard\gc12_cardboard_485802.jpg,biodegradable,non_biodegradable,0.830512,gc12_
data/final/test\cardboard\gc12_cardboard_5b3ee8.jpg,biodegradable,non_biodegradable,0.811920,gc12_
data/final/test\paper\gcv2_paper_4aae78.jpg,biodegradable,non_biodegradable,0.806925,gcv2_
data/final/test\paper\gc12_paper_8c83f7.jpg,biodegradable,non_biodegradable,0.799496,gc12_
data/final/test\paper\gcv2_paper_2f8726.jpg,biodegradable,non_biodegradable,0.791782,gcv2_
data/final/test\paper\gc12_paper_1dcce3.jpg,biodegradable,non_biodegradable,0.791176,gc12_
data/final/test\paper\gc12_paper_2bc727.jpg,biodegradable,non_biodegradable,0.787939,gc12_
data/final/test\paper\taco_Paper_bag_4acb79.jpg,biodegradable,non_biodegradable,0.772932,taco_
data/final/test\cardboard\gcv2_cardboard_553f21.jpg,biodegradable,non_biodegradable,0.771280,gcv2_
data/final/test\paper\gcv2_paper_e5e2ba.jpg,biodegradable,non_biodegradable,0.769058,gcv2_
data/final/test\paper\gc12_paper_3c2649.jpg,biodegradable,non_biodegradable,0.765471,gc12_
